dist,CNAME2014,SNAME2014,PNAME2014,const,SC,Parish,childpov,HH_Pov
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,BUKESA,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,BUKESA,0.01416260000,0.01013502000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,CIVIC CENTRE,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,CIVIC CENTRE,0.00000000000,0.00018667000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,INDUSTRIAL AREA,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,INDUSTRIAL AREA,0.62457400000,0.56472868000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KAGUGUBE,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,KAGUGUBE,0.00000000000,0.04224113000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KAMWOKYA I,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,KAMWOKYA I,0.00183359000,0.00119937000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KAMWOKYA II,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,KAMWOKYA II,0.03277400000,0.02604560000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KISENYI III,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,KISENYI III,0.10749000000,0.08816407000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KISENYI I,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,KISENYI I,0.11263700000,0.07100893000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KISENYI II,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,KISENYI II,0.21075500000,0.17332453000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KOLOLO II,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,KOLOLO II,0.01301050000,0.00677562000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KOLOLO III,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,KOLOLO III,0.00338462000,0.00201772000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KOLOLO IV,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,KOLOLO IV,0.03446510000,0.02433490000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,MENGO,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,MENGO,0.03937100000,0.03100958000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,NAKASERO I,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,NAKASERO I,0.00000000000,0.00124595000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,NAKASERO II,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,NAKASERO II,0.00327711000,0.00359331000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,NAKASERO III,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,NAKASERO III,0.00143357000,0.00079317000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,NAKASERO IV,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,NAKASERO IV,0.00000000000,0.00126103000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,NAKIVUBO SHAURIYAAKO,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,NAKIVUBO SHAURIYAAKO,0.00000000000,0.00559337000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,OLD KAMPALA,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,OLD KAMPALA,0.01460200000,0.01075927000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,BWAISE I,KAWEMPE DIVISION NORTH,KAWEMPE DIVISION,BWAISE I,0.02807270000,0.02261005000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,BWAISE II,KAWEMPE DIVISION SOUTH,KAWEMPE DIVISION,BWAISE II,0.02314190000,0.01885669000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,BWAISE III,KAWEMPE DIVISION SOUTH,KAWEMPE DIVISION,BWAISE III,0.08333520000,0.06837506000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,KANYANYA,KAWEMPE DIVISION NORTH,KAWEMPE DIVISION,KANYANYA,0.02553130000,0.02095496000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,KAWEMPE I,KAWEMPE DIVISION NORTH,KAWEMPE DIVISION,KAWEMPE I,0.01478880000,0.01218434000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,KAWEMPE II,KAWEMPE DIVISION NORTH,KAWEMPE DIVISION,KAWEMPE II,0.03173020000,0.02652281000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,KAZO,KAWEMPE DIVISION NORTH,KAWEMPE DIVISION,KAZO,0.03444770000,0.02859751000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,KIKAAYA,KAWEMPE DIVISION NORTH,KAWEMPE DIVISION,KIKAAYA,0.01278620000,0.00975326000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,KOMAMBOGA,KAWEMPE DIVISION NORTH,KAWEMPE DIVISION,KOMAMBOGA,0.01971480000,0.01585768000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,KYEBANDO,KAWEMPE DIVISION NORTH,KAWEMPE DIVISION,KYEBANDO,0.02254260000,0.01744510000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,MAKERERE I,KAWEMPE DIVISION SOUTH,KAWEMPE DIVISION,MAKERERE I,0.04397940000,0.02149897000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,MAKERERE II,KAWEMPE DIVISION SOUTH,KAWEMPE DIVISION,MAKERERE II,0.04326440000,0.02328996000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,MAKERERE III,KAWEMPE DIVISION SOUTH,KAWEMPE DIVISION,MAKERERE III,0.08920790000,0.07057050000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,MAKERERE UNIVERSITY,KAWEMPE DIVISION SOUTH,KAWEMPE DIVISION,MAKERERE UNIVERSITY,0.00049841000,0.00036224000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,MPERERWE,KAWEMPE DIVISION NORTH,KAWEMPE DIVISION,MPERERWE,0.04660150000,0.03606320000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,MULAGO I,KAWEMPE DIVISION SOUTH,KAWEMPE DIVISION,MULAGO I,0.02845490000,0.01900474000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,MULAGO II,KAWEMPE DIVISION SOUTH,KAWEMPE DIVISION,MULAGO II,0.05896050000,0.04460867000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,MULAGO III,KAWEMPE DIVISION SOUTH,KAWEMPE DIVISION,MULAGO III,0.05266870000,0.04262073000
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,WANDEGEYA,KAWEMPE DIVISION SOUTH,KAWEMPE DIVISION,WANDEGEYA,0.35350400000,0.26121255000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,BUKASA,MAKINDYE DIVISION EAST,MAKINDYE DIVISION,BUKASA,0.05564880000,0.04348426000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,BUZIGA,MAKINDYE DIVISION WEST,MAKINDYE DIVISION,BUZIGA,0.00917359000,0.00701062000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,GGABA,MAKINDYE DIVISION EAST,MAKINDYE DIVISION,GGABA,0.03371330000,0.02507893000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,KABALAGALA,MAKINDYE DIVISION EAST,MAKINDYE DIVISION,KABALAGALA,0.05985660000,0.04493893000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,KANSANGA,MAKINDYE DIVISION EAST,MAKINDYE DIVISION,KANSANGA,0.01503840000,0.01102784000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,KATWE I,MAKINDYE DIVISION WEST,MAKINDYE DIVISION,KATWE I,0.10351600000,0.08570478000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,KATWE II,MAKINDYE DIVISION WEST,MAKINDYE DIVISION,KATWE II,0.13609900000,0.11584082000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,KIBULI,MAKINDYE DIVISION EAST,MAKINDYE DIVISION,KIBULI,0.06258960000,0.04825583000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,KIBUYE I,MAKINDYE DIVISION WEST,MAKINDYE DIVISION,KIBUYE I,0.04047320000,0.03190108000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,KIBUYE II,MAKINDYE DIVISION WEST,MAKINDYE DIVISION,KIBUYE II,0.01932570000,0.01580682000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,KISUGU,MAKINDYE DIVISION EAST,MAKINDYE DIVISION,KISUGU,0.05428250000,0.04145940000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,LUKULI,MAKINDYE DIVISION WEST,MAKINDYE DIVISION,LUKULI,0.02128470000,0.01713897000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,LUWAFU,MAKINDYE DIVISION WEST,MAKINDYE DIVISION,LUWAFU,0.01687360000,0.01299473000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,MAKINDYE I,MAKINDYE DIVISION WEST,MAKINDYE DIVISION,MAKINDYE I,0.03969390000,0.03005452000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,MAKINDYE II,MAKINDYE DIVISION WEST,MAKINDYE DIVISION,MAKINDYE II,0.01674580000,0.01323993000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,NSAMBYA CENTRAL,MAKINDYE DIVISION WEST,MAKINDYE DIVISION,NSAMBYA CENTRAL,0.03614150000,0.02795669000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,NSAMBYA ESTATE,MAKINDYE DIVISION EAST,MAKINDYE DIVISION,NSAMBYA ESTATE,0.00000000000,
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,NSAMBYA RAILWAY,MAKINDYE DIVISION WEST,MAKINDYE DIVISION,NSAMBYA RAILWAY,0.00000000000,
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,WABIGALO,MAKINDYE DIVISION EAST,MAKINDYE DIVISION,WABIGALO,0.02303410000,0.01943721000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,BANDA,NAKAWA DIVISION,NAKAWA DIVISION,BANDA,0.07500520000,0.05232140000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,BUGOLOBI,NAKAWA DIVISION,NAKAWA DIVISION,BUGOLOBI,0.00083104000,0.00049174000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,BUKOTO I,NAKAWA DIVISION,NAKAWA DIVISION,BUKOTO I,0.00821083000,0.00593921000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,BUKOTO II,NAKAWA DIVISION,NAKAWA DIVISION,BUKOTO II,0.00855690000,0.00607061000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,BUTABIKA,NAKAWA DIVISION,NAKAWA DIVISION,BUTABIKA,0.08467760000,0.06801460000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,ITEK,NAKAWA DIVISION,NAKAWA DIVISION,ITEK,0.00000000000,
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,KISWA,NAKAWA DIVISION,NAKAWA DIVISION,KISWA,0.04897600000,0.02650709000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,KIWATULE,NAKAWA DIVISION,NAKAWA DIVISION,KIWATULE,0.00531279000,0.00406410000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,KYAMBOGO,NAKAWA DIVISION,NAKAWA DIVISION,KYAMBOGO,0.00134228000,0.00222603000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,KYANJA,NAKAWA DIVISION,NAKAWA DIVISION,KYANJA,0.01365060000,0.01029250000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,LUZIRA,NAKAWA DIVISION,NAKAWA DIVISION,LUZIRA,0.05342450000,0.04117240000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,LUZIRA PRISONS,NAKAWA DIVISION,NAKAWA DIVISION,LUZIRA PRISONS,0.00000000000,0.01842087000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,MBUYA I,NAKAWA DIVISION,NAKAWA DIVISION,MBUYA I,0.06754970000,0.05425662000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,MBUYA II,NAKAWA DIVISION,NAKAWA DIVISION,MBUYA II,0.01666530000,0.01297726000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,MUTUNGO,NAKAWA DIVISION,NAKAWA DIVISION,MUTUNGO,0.02663330000,0.02044203000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,NABISUNSA,NAKAWA DIVISION,NAKAWA DIVISION,NABISUNSA,0.00000000000,0.01769767000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,NAGURU I,NAKAWA DIVISION,NAKAWA DIVISION,NAGURU I,0.02070970000,0.01776665000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,NAGURU II,NAKAWA DIVISION,NAKAWA DIVISION,NAGURU II,0.03350480000,0.02645728000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,NAKAWA,NAKAWA DIVISION,NAKAWA DIVISION,NAKAWA,0.06845610000,0.03501573000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,NAKAWA INSTITUTION,NAKAWA DIVISION,NAKAWA DIVISION,NAKAWA INSTITUTION,0.00000000000,
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,NTINDA,NAKAWA DIVISION,NAKAWA DIVISION,NTINDA,0.00116200000,0.00094427000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,UPK,NAKAWA DIVISION,NAKAWA DIVISION,UPK,0.00000000000,0.25769231000
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,UPPER ESTATE,NAKAWA DIVISION,NAKAWA DIVISION,UPPER ESTATE,0.01845330000,0.01277557000
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,BUSEGA,RUBAGA DIVISION SOUTH,RUBAGA DIVISION,BUSEGA,0.02902550000,0.02278562000
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,KABOWA,RUBAGA DIVISION SOUTH,RUBAGA DIVISION,KABOWA,0.02185810000,0.01743261000
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,KASUBI,RUBAGA DIVISION NORTH,RUBAGA DIVISION,KASUBI,0.02812300000,0.02163353000
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,LUBYA,RUBAGA DIVISION NORTH,RUBAGA DIVISION,LUBYA,0.03008370000,0.02432811000
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,LUNGUJJA,RUBAGA DIVISION NORTH,RUBAGA DIVISION,LUNGUJJA,0.02637540000,0.01985080000
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,MUTUNDWE,RUBAGA DIVISION SOUTH,RUBAGA DIVISION,MUTUNDWE,0.03341700000,0.02800081000
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,NAJJANANKUMBI I,RUBAGA DIVISION SOUTH,RUBAGA DIVISION,NAJJANANKUMBI I,0.02343670000,0.01768174000
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,NAJJANANKUMBI II,RUBAGA DIVISION SOUTH,RUBAGA DIVISION,NAJJANANKUMBI II,0.01070050000,0.00828079000
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,NANKULABYE,RUBAGA DIVISION NORTH,RUBAGA DIVISION,NANKULABYE,0.03055540000,0.02351226000
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,NAMIREMBE,RUBAGA DIVISION NORTH,RUBAGA DIVISION,NAMIREMBE,0.01433640000,0.00958684000
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,NATEETE,RUBAGA DIVISION SOUTH,RUBAGA DIVISION,NATEETE,0.02723880000,0.02125320000
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,NDEEBA,RUBAGA DIVISION SOUTH,RUBAGA DIVISION,NDEEBA,0.05101630000,0.04084830000
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,RUBAGA,RUBAGA DIVISION SOUTH,RUBAGA DIVISION,RUBAGA,0.01712410000,0.01204022000
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,SALAAMA,MAKINDYE DIVISION WEST,MAKINDYE DIVISION,SALAAMA,0.02882950000,0.02294543000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KOLOLO I,KAMPALA CENTRAL DIVISION,CENTRAL DIVISION,KOLOLO I,0.00065517000,0.00036327000
